5
0	40.1932318911	-104.766957323	'15244-15464 County Road 28, Platteville, CO 80651, USA'
1	40.125499089	-104.919690995	'Unnamed Road, Firestone, CO 80504, USA'
2	39.888452827	-105.181674814	'Unnamed Road, Broomfield, CO 80021, USA'
3	39.8835911895	-105.050099831	'10301-10359 Zenobia Court, Westminster, CO 80031, USA'
4	39.8808264402	-104.853039514	'10122-10148 Colorado 2, Commerce City, CO 80022, USA'
0	0	0	0
0	1	1475	20763
0	2	4296	81453
0	3	2712	61101
0	4	2081	41560
1	0	1466	20763
1	1	0	0
1	2	3430	59048
1	3	1846	38696
1	4	1975	40369
2	0	4197	79257
2	1	3338	58991
2	2	0	0
2	3	2288	29941
2	4	3137	52447
3	0	2759	54226
3	1	1838	38780
3	2	2353	28442
3	3	0	0
3	4	1191	18010
4	0	1986	41035
4	1	1950	39964
4	2	3139	46505
4	3	1216	18184
4	4	0	0
