5
0	39.9165298216	-105.202239653	'West 120th Avenue, Louisville, CO 80027, USA'
1	40.2113589591	-105.149820527	'12886-13498 North 87th Street, Longmont, CO 80503, USA'
2	40.1545845295	-105.053962882	'Zlaten Drive, Longmont, CO 80501, USA'
3	40.048202532	-105.173684899	'3990 North 75th Street, Boulder, CO 80301, USA'
4	39.8374194328	-105.069396092	'7754 Newland Street, Arvada, CO 80003, USA'
0	0	0	0
0	1	2197	42945
0	2	1872	40205
0	3	1166	20303
0	4	1109	19669
1	0	2134	42686
1	1	0	0
1	2	754	14325
1	3	1322	23085
1	4	2559	48222
2	0	1876	49120
2	1	777	14317
2	2	0	0
2	3	1214	21486
2	4	2193	42360
3	0	1231	20256
3	1	1342	23087
3	2	1191	21385
3	3	0	0
3	4	1750	30869
4	0	1127	19696
4	1	2548	48253
4	2	2153	42455
4	3	1759	30788
4	4	0	0
