5
0	39.716146149	-105.110570857	'1-21 Colorado 391, Denver, CO 80226, USA'
1	39.9912184554	-105.080667351	'800 Merlin Drive, Lafayette, CO 80026, USA'
2	39.6477155546	-104.76797487	'3825 South Bahama Way, Aurora, CO 80013, USA'
3	39.5664004672	-105.016911946	'2500 West County Line Road, Littleton, CO 80120, USA'
4	39.6419820075	-104.856888515	'Dam Road, Colorado, USA'
0	0	0	0
0	1	2182	35186
0	2	1811	37595
0	3	1458	29201
0	4	1408	29227
1	0	2231	35052
1	1	0	0
1	2	2627	70236
1	3	3014	59775
1	4	2738	57513
2	0	1909	38391
2	1	2656	68665
2	2	0	0
2	3	1586	40225
2	4	686	9488
3	0	1462	27014
3	1	2788	56896
3	2	1737	43248
3	3	0	0
3	4	1407	30762
4	0	1518	30158
4	1	2658	56226
4	2	669	9326
4	3	1252	26683
4	4	0	0
