6
0	40.0237308573	-105.030704946	'1400 Serene Drive, Erie, CO 80516, USA'
1	39.639642276	-104.924973186	'4250 Honey Locust Drive, Englewood, CO 80113, USA'
2	39.5619124767	-104.777617429	'13800 North Valley Hi Court, Parker, CO 80138, USA'
3	40.160353879	-104.847404069	'11016 County Road 23, Fort Lupton, CO 80621, USA'
4	39.7650321106	-105.154099672	'3380-3398 Braun Road, Golden, CO 80401, USA'
5	40.0418051826	-104.803893301	'2542 County Road 27, Fort Lupton, CO 80621, USA'
0	0	0	0
0	1	2537	53482
0	2	2654	76886
0	3	1686	36000
0	4	1983	44873
0	5	1549	26220
1	0	2662	53928
1	1	0	0
1	2	1151	22723
1	3	3295	73148
1	4	1899	31280
1	5	2765	57627
2	0	2720	78127
2	1	1090	22139
2	2	0	0
2	3	3126	87519
2	4	2273	60722
2	5	2596	71998
3	0	1657	36061
3	1	3249	75617
3	2	3006	84994
3	3	0	0
3	4	2640	64468
3	5	986	18590
4	0	2027	45495
4	1	1768	31104
4	2	2307	61404
4	3	2626	64637
4	4	0	0
4	5	2096	49116
5	0	1567	26611
5	1	2751	57706
5	2	2535	69563
5	3	997	18611
5	4	2169	49036
5	5	0	0
