5
0	40.0066340106	-105.164272568	'8321 Baseline Road, Boulder, CO 80303, USA'
1	39.6646722442	-104.949849646	'3151-3199 East Bates Avenue, Denver, CO 80210, USA'
2	40.0590546288	-104.93116273	'7001 County Road 10, Brighton, CO 80603, USA'
3	39.6120025829	-104.758426892	'5713 South Genoa Court, Aurora, CO 80015, USA'
4	39.5787850708	-104.883964826	'9019 East Panorama Circle, Englewood, CO 80112, USA'
0	0	0	0
0	1	2520	50984
0	2	1963	30506
0	3	3061	82556
0	4	2837	62978
1	0	2577	51250
1	1	0	0
1	2	2882	56551
1	3	1407	23793
1	4	766	13800
2	0	1955	30462
2	1	2866	56450
2	2	0	0
2	3	3003	72785
2	4	3183	68443
3	0	3074	84438
3	1	1392	24379
3	2	2995	72901
3	3	0	0
3	4	1065	15420
4	0	2881	63384
4	1	800	14015
4	2	3186	68685
4	3	1037	15389
4	4	0	0
