10
0	39.8465655706	-105.123672014	'8228 Pierson Court, Arvada, CO 80005, USA'
1	39.9031536996	-104.785065311	'11299-11200 Quintaro Street, Commerce City, CO 80022, USA'
2	39.7499712399	-105.213541137	'601-699 20th Street, Golden, CO 80401, USA'
3	40.0553992294	-104.861332889	'3842 County Road 21, Fort Lupton, CO 80621, USA'
4	39.7769464011	-104.791454935	'Peña Boulevard, Denver, CO 80239, USA'
5	39.6641328428	-104.794629621	'16443-16463 East Bates Drive, Aurora, CO 80013, USA'
6	40.0136348744	-104.901054209	'8252-8268 Weld County Road 4, Brighton, CO 80603, USA'
7	39.8254506249	-104.955765562	'North Washington, CO, USA'
8	40.0703908391	-105.022270275	'4799 Edie Place, Erie, CO 80516, USA'
9	39.6189321387	-105.199527342	'Morrison, CO, USA'
0	0	0	0
0	1	1915	36540
0	2	1178	18757
0	3	2503	45672
0	4	1850	35072
0	5	2406	44502
0	6	2057	37732
0	7	1215	19694
0	8	2008	35589
0	9	1804	38006
1	0	1867	36011
1	1	0	0
1	2	2038	46988
1	3	1629	25600
1	4	811	18744
1	5	1613	35974
1	6	1373	27879
1	7	895	20311
1	8	1492	37310
1	9	2664	66236
2	0	1259	17903
2	1	1966	47048
2	2	0	0
2	3	2763	60880
2	4	1850	42641
2	5	2228	46711
2	6	2383	53281
2	7	1265	30202
2	8	2333	56296
2	9	1201	24543
3	0	2493	45534
3	1	1647	26115
3	2	2858	60805
3	3	0	0
3	4	1982	45512
3	5	2784	62742
3	6	800	7813
3	7	1714	34128
3	8	1222	19498
3	9	3484	80053
4	0	1677	32711
4	1	838	17224
4	2	1792	40847
4	3	2159	49250
4	4	0	0
4	5	903	12966
4	6	1805	44746
4	7	909	20534
4	8	1924	54177
4	9	2418	60096
5	0	2319	43885
5	1	1563	36284
5	2	2284	46223
5	3	2819	64430
5	4	994	14703
5	5	0	0
5	6	2466	59926
5	7	1552	31708
5	8	2585	69357
5	9	2456	46922
6	0	2062	37642
6	1	1414	23668
6	2	2464	53089
6	3	767	7813
6	4	1704	42676
6	5	2506	59906
6	6	0	0
6	7	1481	31681
6	8	1115	16821
6	9	3090	72337
7	0	972	15701
7	1	1257	30111
7	2	1143	26677
7	3	1841	37917
7	4	900	21200
7	5	1457	30629
7	6	1395	29977
7	7	0	0
7	8	1345	32992
7	9	1769	45926
8	0	1998	35559
8	1	1477	37406
8	2	2369	55770
8	3	1231	19497
8	4	1798	51964
8	5	2600	69193
8	6	1088	16824
8	7	1553	36491
8	8	0	0
8	9	2995	75019
9	0	1489	32532
9	1	2247	59690
9	2	801	19032
9	3	3044	73521
9	4	2131	55283
9	5	2024	40540
9	6	2664	65922
9	7	1546	42844
9	8	2614	68938
9	9	0	0
