5
0	40.104039624	-104.855196645	'Blue Sky Circle, Fort Lupton, CO 80621, USA'
1	39.596983775	-104.986311644	'6636 South Lincoln Street, Centennial, CO 80121, USA'
2	39.735082944	-105.035863315	'1241 Meade Street, Denver, CO 80204, USA'
3	39.6565994345	-104.987047714	'2-52 East Floyd Avenue, Englewood, CO 80113, USA'
4	39.5976408423	-105.174085719	'13-17 Black Bear Lane, Littleton, CO 80127, USA'
0	0	0	0
0	1	3301	69585
0	2	2396	52556
0	3	2809	60661
0	4	3524	85049
1	0	3207	70054
1	1	0	0
1	2	1355	21678
1	3	562	6846
1	4	1207	23516
2	0	2334	53759
2	1	1330	21543
2	2	0	0
2	3	838	12618
2	4	1707	36675
3	0	2718	61937
3	1	660	7020
3	2	867	13560
3	3	0	0
3	4	1428	28461
4	0	3478	85739
4	1	1202	23388
4	2	1658	36360
4	3	1398	28023
4	4	0	0
