5
0	40.1988249393	-104.867507036	'13895 County Road 21, Platteville, CO 80651, USA'
1	39.682516702	-105.087977172	'8100-8198 West Jewell Avenue, Lakewood, CO 80232, USA'
2	40.132337448	-105.189649705	'Unnamed Road, Longmont, CO 80503, USA'
3	39.9639421964	-104.906491295	'E-470, Brighton, CO 80602, USA'
4	39.6111099317	-105.052478369	'5824 Shasta Circle, Littleton, CO 80123, USA'
0	0	0	0
0	1	3069	76244
0	2	2108	36378
0	3	1666	42642
0	4	3347	81407
1	0	2991	76002
1	1	0	0
1	2	3816	64358
1	3	2054	48050
1	4	885	12943
2	0	2143	36362
2	1	3762	63333
2	2	0	0
2	3	2869	62027
2	4	3996	80010
3	0	1414	42062
3	1	2058	48575
3	2	2309	48356
3	3	0	0
3	4	2336	53737
4	0	3330	81653
4	1	795	12060
4	2	4072	80747
4	3	2393	53701
4	4	0	0
