5
0	39.8101918048	-104.861379704	'East 64th Avenue, Denver, CO 80239, USA'
1	39.8937515685	-105.097985182	'8801-9033 West 108th Avenue, Westminster, CO 80021, USA'
2	40.1332601192	-104.880062067	'9000-9380 County Road 20, Fort Lupton, CO 80621, USA'
3	40.0864109096	-105.157621451	'8131-8139 Mineral Road, Niwot, CO 80503, USA'
4	39.9281345221	-104.97084781	'12801 Lafayette Street, Thornton, CO 80241, USA'
0	0	0	0
0	1	1686	28197
0	2	2463	49663
0	3	2640	51553
0	4	1604	25340
1	0	1824	30100
1	1	0	0
1	2	2060	48992
1	3	1516	29818
1	4	1229	16663
2	0	2524	49733
2	1	1893	42443
2	2	0	0
2	3	1402	28293
2	4	1505	32847
3	0	2671	57281
3	1	1282	27196
3	2	1397	29725
3	3	0	0
3	4	1411	34305
4	0	1670	24123
4	1	967	15616
4	2	1437	33649
4	3	1433	34441
4	4	0	0
